"Surprise ?

#49al3 #reformedesretraites https://t.co/9j22njcIFJ",French,Indo-European,,NonNative
1984  George Orwell                              #49al3 #reformedesretraites https://t.co/UxXRFNtQxC,French,Indo-European,,NonNative
"Error 49.3 democracy not found !

#49al3 #ComedieFrancaise #OperaNational #Retraites https://t.co/I8BdF9fqhA",French,Indo-European,,NonNative
"D'actualité avec le #49al3 

#GreveGenerale 

🎵get up 🎶stand up🎵stand up🎶for your right🎵

https://t.co/WMw4LY2jUW",French,Indo-European,,NonNative
@EPhilippePM Oops! #49al3 #49alinea3 49.3 https://t.co/hoEf8qiGQC,French,Indo-European,,NonNative
No One Is Innocent - Nomenklatura #LoiTravail #NuitDebout #49al3 #Anonymous #blackbloc https://t.co/axhrgkEk1m,French,Indo-European,,NonNative
French prime minister  to reform  labour laws by decree https://t.co/WOOd00D96B #EtatdUrgence #GlobalDebout #NuitDebout #49al3 #LoiTravail,French,Indo-European,,NonNative
How to fix our broken democracy #GlobalDebout #NuitDebout #49al3 #LoiTravail https://t.co/ajqJApOy7Y,French,Indo-European,,NonNative
Archive #49al3 https://t.co/UJFyGFSEQJ,French,Indo-European,,NonNative
"The French government is going to use #49al3 (the third subparagraph in article 49 of the constitution) in the parliament to force the legislative process of its plan to reform the national pension system!
Macron 1 - 0 Marianne https://t.co/s4L1cOgXc5",French,Indo-European,,NonNative
Oops... #49al3 https://t.co/LhsYhUH9PA,French,Indo-European,,NonNative
"The show must go on.
#Municipales2020 #COVIDー19 #CoronavirusFrance #49al3 https://t.co/Ltu2NAaiId",French,Indo-European,,NonNative
you talking to me ? You want a 49-3 on your gueule ? #Vendredi13 #LoiTravail #MacronStyle #49al3 https://t.co/3DZoQlweJd,French,Indo-European,,NonNative
"@manuelvalls answers to a fictional character, but he doesn't listen Fr citizens. Where is the democracy? #49al3  https://t.co/edD2rwTOa7",French,Indo-European,,NonNative
I don't know the future but i feel like a storm is coming. 😱 #Coronavid19 #49al3 #Cesar2020,French,Indo-European,,NonNative
"#49al3
remember people are not numbers 
remenber our number scare murderers https://t.co/nOYsmg0L7Z",French,Indo-European,,NonNative
@HouseofCards @manuelvalls thanks for support franck ! Democracy is down #49al3 #Futur #Humanity #Elysium https://t.co/TYxqL0mGHK   @YouTube,French,Indo-European,,NonNative
"Yep, Franck &amp; French Prime Minister @manuelvalls are on the same page. Democracy is so overrated. #LoiTravail #49al3 https://t.co/J22fGnzaNv",French,Indo-European,,NonNative
"#49al3 is the new ""Jacques a dit"" !",French,Indo-European,,NonNative
RT HouseofCards: manuelvalls Democracy is so overrated. #LoiTravail #49al3 https://t.co/i5qWw5S8xH,French,Indo-European,,NonNative
Best tweet ever ? @manuelvalls #FranckUnderwood #49al3  https://t.co/gQfm04XmJs,French,Indo-European,,NonNative
"Wait around and wait around and pretty soon you won't be around.
George Woodman
Le petit chat est mort. #49al3 https://t.co/ikYEw4hW4e",French,Indo-European,,NonNative
40 people arrested and Denfert-controlled. They come from the Bourse du Travail #manif5juillet #LoiTravail #49al3 https://t.co/qD7u4dJ1ME,French,Indo-European,,NonNative
There's something rotten in the kingdom of Mankind ! #Hamlet #49al3 #loitravailnonmerci #Gattazexit #GlobalDebout https://t.co/pigWEotdRU,French,Indo-European,,NonNative
Hi @POTUS have u ever thought about #49al3 in order to prevent ur citizen from buying guns easily?Talk w/ @manuelvalls he can help u.Regards,French,Indo-European,,NonNative
Funny exchange between @HouseofCards and @manuelvalls on the #49al3 constitutional tool to overcome Parliament block https://t.co/rVjONr327n,French,Indo-European,,NonNative
"Retweeted House of Cards (@HouseofCards):

@manuelvalls Democracy is so overrated. #LoiTravail #49al3... https://t.co/P6VnoKaQF3",French,Indo-European,,NonNative
"""Vote for #LoiMacron. 
- Non way. 
-Sudo vote for #LoiMacron !
- Okay.""

#49al3 #Valls #SystemeEnBug",French,Indo-European,,NonNative
"Bitch, Don't Kill My Vibe ! #LoiMacron #49al3",French,Indo-European,,NonNative
text,French,Indo-European,,NonNative
"My video on how Polanski's Cesar feels to me as a victime of child/teen sexual abuse is now captioned in english : https://t.co/MLR6sarGou

#CesarDeLaHonte #JeSuisVictime",French,Indo-European,,NonNative
"Adèle Haenel attending #cesars2020 having hopes that they will never award something to a rapist, that the film industry might've changed for better. Shame to those who says she shouldn't have come. Reflect on yourself &amp; ask if you still have your humanity. #CesarDeLaHonte",French,Indo-European,,NonNative
"“Polanski fled and found refuge in France. In France, we accept rapists on the run because they’re artists. It’s a problem of French society.” 

#rapeculture #CesarDeLaHonte

https://t.co/o4dHcvc5UI",French,Indo-European,,NonNative
"Mood
#CesarDeLaHonte https://t.co/3x2eRV8Np9",French,Indo-European,,NonNative
"*TW: Rape* 
Powerful text expressing the outrage many felt when #Polanski won the #CesarAwards for best director. A must read. #CesarDeLaHonte  https://t.co/0AcHdDzrDr",French,Indo-European,,NonNative
Incredible illustration by one of the women in my forthcoming book. 🖌 Eliane Cheung. #AdeleHaenel #CesarDeLaHonte https://t.co/j225fGzxTM,French,Indo-European,,NonNative
Florence Foresti GUYS 👏🏻👏🏻  #CesarDeLaHonte #Cesar2020 #cyrilhanouna https://t.co/iaymaB4uRA,French,Indo-European,,NonNative
"Thank you #AdeleHaenel . 
#CesarDeLaHonte #Cesar2020 #FlorenceForesti #Polanski https://t.co/wnhYClbqRg",French,Indo-European,,NonNative
"https://t.co/GWG2dtSew4
 You are my queen @dairingtia
#Violanski #CesarDeLaHonte",French,Indo-European,,NonNative
Polanski’s ‘Oscar’ divides elite world of French cinema https://t.co/3EoAoiYO0T #CesarDeLaHonte #Violanski,French,Indo-European,,NonNative
"Juliette Binoche came to save us! #CesarDeLaHonte #Polanski #Cesar2020

(At least she said it better than the other actresses...) https://t.co/9Ph6uoLEXU",French,Indo-European,,NonNative
"I shouldn’t be surprised but I am. 

#Violanski #pedoland #Polanski #cesardelahonte",French,Indo-European,,NonNative
#CesarDeLaHonte Olivier Carbone https://t.co/SbDqptWX3A,French,Indo-European,,NonNative
"Shame on you @jmblanquer.

#cesars2020 #CesarDeLaHonte #Polanski https://t.co/qSkgAIIJY1",French,Indo-European,,NonNative
🤢🤢🤢 Full support #AdeleHaenel #Balancetonporc #CesarDeLaHonte #CesarsDeLaHonte #OlivierCarbone #Connard #Fdp https://t.co/CdmxvDMA2f,French,Indo-European,,NonNative
"Weinstein, Polanski and beyond: The ripening fruits of #MeToo, by Jennifer Izaakson.

#adelehanael #Cesar2020 #CesarDeLaHonte #Polanski #pedocriminel #Weinstein #cesarawards 

https://t.co/1gkbdjLVs9 https://t.co/lQTQUMzKTt",French,Indo-European,,NonNative
"@toi_moi_elle_75 @portraitmoviemx @IndieWire France may not be the good exemple to follow...
#CesarDeLaHonte",French,Indo-European,,NonNative
@ZhangZhangZhang And right now ? What is your proposition to preserve occidentals countries from sexism ? Knowing that they are also sexists !!! #CesarDeLaHonte #MissFrance,French,Indo-European,,NonNative
"WONDERING WHY THAT PAEDOPHILE RAPIST KNOWN AS ""#Romanpolanski"" IS STILL ALIVE IN 2020? #Cesar #Cesars #Cesar2020 #CesarAwards #CesarAwards2020 #cesars2020 #CesarDeLaHonte #CesarsDeLaHonte",French,Indo-European,,NonNative
@RoArquette Wish the Cesar heard you before... #CesarDeLaHonte,French,Indo-European,,NonNative
text,French,Indo-European,,NonNative
"""Managing our ocean"" with @LaurencePessez @BNPParibas @PhilippineHuc @surfridereurope et Marina Rachline @EuroJedi #ChangeNOW2020 https://t.co/sYDvs9FEWI",French,Indo-European,,NonNative
"The ecological #transition will require massive investments, with the need to reallocate money... thru investments to fight climate change, tools like #climetrics and innovative #sustainablefinance solutions. #ChangeNOW2020 #esg #greenbounds : is there a #responsiblecapitalism ? https://t.co/Z3mtxxJoDW",French,Indo-European,,NonNative
"🌏 World Expo for the Planet 🌏
PILI will be at the great summit Change Now [Grand Palais 30/01-1/02] with a new blue pigment to be tested in various materials, if you whish to test it on your industrial application, we'll be happy to meet you!
@changeNOWsummit
#ChangeNOW2020 https://t.co/IqpOpcPu9b",French,Indo-European,,NonNative
"#sustainablefashion ""We need to act as Fashion represents 1/3 of plastics in the ocean"" @brunepoirson #Fashionact @PublicisMediaFr @PublicisGroupe #ChangeNOW2020 #heroesofchange https://t.co/ISjnCFFHxj",French,Indo-European,,NonNative
"""Marine transportation represents about 80% of the transport of all the goods we consume! We're working with ship owners, ship builders, financers, like @BNPParibas to make it more responsible"" @PhilippineHuc @surfridereurope #ChangeNOW2020 https://t.co/Ew2yWVtNX1",French,Indo-European,,NonNative
We’re proud supporters of #changenow2020! Join @katborlongan at 16:15 to chat about #impact + #frenchtech: https://t.co/YRbjjOEhxK #heroesofchange https://t.co/EQqmnTHhtm,French,Indo-European,,NonNative
#ChangeNOW2020 Summit in Paris : great innovations to give positive impact to our Society ! The startups accelerated by @Dassault3DS are here to change the world 🌎 https://t.co/PdRBqwIIG0,French,Indo-European,,NonNative
Far away from le grand palais... a good reason to #ChangeNOW2020 @TaraOcean_ @PlasticOdyssey https://t.co/mv046kN7pU,French,Indo-European,,NonNative
Proud to have our CFO Ramon Fernandez representing Orange at the ChangeNOW roundtable on Business with Values : « Sustainability is now as important a topic for Orange as is growth » #ChangeNOW2020 #BienVivreLeDigital https://t.co/ZmOu41nyws,French,Indo-European,,NonNative
Happy to present to @ChristopheBechu this morning at @changeNOWsummit our redesigned #carbon sink. This concrete solution developed by @suez and @FermentalgCom improves air quality by turning pollution into green energy. #SmartCity #ChangeNOW2020 #SUEZ4air https://t.co/eDmiWdxHwq,French,Indo-European,,NonNative
"#AI For All ? Really ?
Fantastic data In could become garbage data Out. Careful, #AI was made by code and each line of it is a decision. #AI is not only data. Nice approach @gbuffet ! @Uchange_ #ChangeNOW2020 https://t.co/DD0QlCCOPo",French,Indo-European,,NonNative
"The @BNPParibas Head of CSR,  @LaurencePessez is speaking at @changeNOWsummit on the topic “Managing our ocean”

The bank is helping companies to perform their transition through 2 ways: Investment and Innovation

#ChangeNOW2020 #PositiveBanking https://t.co/H2P8zdqt6w",French,Indo-European,,NonNative
I saw the private sector of tomorrow at #ChangeNOW2020 | #Innovations #GrandPalais #Paris #Bcorp #SDG @changeNOWsummit https://t.co/769QaBP64v,French,Indo-European,,NonNative
"This is it @changeNOWsummit has just started! 

Interesting session this morning with my first #HeroesOfChange  who are fighting against food waste 
 #ChangeNOW2020 https://t.co/pFfpx5keg8",French,Indo-European,,NonNative
"“The rest of the world is talking about problems, and here we are talking about solutions.” @bertrandpiccard à @changeNOWsummit 💡⚡️✨ #HeroesOfChange #ChangeNOW2020 https://t.co/qdBPkpvDiu",French,Indo-European,,NonNative
NO MORE EXCUSES TO ACT! SDG Action Manager for business just launched at @changeNOWsummit A free tool to help enterprises measure and implement the #GlobalGoals @PavanSukhdev @Lise_Kingo @EmmanuelFaber #changeNOW2020 https://t.co/BVJR880UCg,French,Indo-European,,NonNative
"#ChangeNOW2020 : “WE ARE NOT HERE TO THINK, WE ARE HERE TO ACT!” ✊🏻🌍
#ActForImpact @WE_BNPP @WAI_BNPP @BNPParibas @mabanque_bnpp https://t.co/90Kc8EM3tT",French,Indo-European,,NonNative
"💬 « Innovate is the art to make things new, differently. From now on, we have a responsibility to act differently. Our daily life, our businesses, our leisures, our holidays must be different » #UseItAgain #CircularEconomy ♻️ #ChangeNOW2020 #HereosOfChange #TrimaranUltim https://t.co/bqnCWTYlH4",French,Indo-European,,NonNative
« How AI can help predict and reduce health and psychosocial risks within the company? » @axionable on stage à @changeNOWsummit ! #ChangeNOW2020 #heroesofchange  @gwendalbihan @berger_data @floriansb https://t.co/o9tm2e6zYg,French,Indo-European,,NonNative
"#ChangeNOW2020 @solarimpulse Foundation Challenge #1000solutions Day 2! #AirLiquide aims at accelerating the labelling of clean, efficient and profitable solutions for the planet 🌏 Already 18 solutions labelled for Air Liquide and it’s partners! Join us 🤗 #HeroesOfChange https://t.co/sDDCIunW68",French,Indo-European,,NonNative
"#ChangeNow2020 Meet the most outstanding impact businesses. It’s time to register for the big Summit https://t.co/JDxs4LHsTX Connect with leading innovators &amp; peers at #ChangeNOW with #BusinessFrance !
More info on https://t.co/OgYqyWM66s.  
! https://t.co/IzY4qlevY0 code : BFNOW https://t.co/oKhGFfJeve",French,Indo-European,,NonNative
The fight against #ClimateChange will be won or lost in cities! Going #ZeroCarbon is the 1st goal of @AngersAgglo #SmartCity project. @OriginsEarth is thrilled to support this ambition with a groundbreaking #CO2 emissions tracking tool. #ChangeNOW2020 #SDG11 #SDG13 https://t.co/5jyK3eQoLA,French,Indo-European,,NonNative
"It was a pleasure participating in the #ChangeNOW2020 event today to continue bringing the issue of access to #healthcare on the global agenda. At @AXA, we continue to partner across sectors, leapfrog tech and rethink our business models to accelerate #HealthforAll https://t.co/bru0m5kEvl",French,Indo-European,,NonNative
It is time now for normal people to do extraordinary actions 👏👍 Thank you so very much to @changeNOWsummit team and cofounders @santi_on_twitt @RoseLucotte @KevinTayebaly @eClairPetreault #ChloeAndre Was an incredible 3days Summit👏👏 #ChangeNOW2020 https://t.co/Sn7zkSvdj7,French,Indo-European,,NonNative
"#ChangeNOW2020 : D-15 !
Happy to be featured in the #HeroesOfChange and to have a discussion about the #FutureOfFood during the session ""Changing food system: Food Waste""
https://t.co/xYtv14U3Of 
#ChangeNOW #ChangeMakers #Impact #TechForGood https://t.co/Qy8ebjOVTv",French,Indo-European,,NonNative
MCing Startup pitches at @changeNOWsummit during next three days. Very inspiring to discover so many impact startups. #ChangeNOW2020 https://t.co/9I2zDzVDY9,French,Indo-European,,NonNative
"45’ live with one of my favorite activist @CaptPaulWatson at @changeNOWsummit « if the ocean die we die »
#HeroesOfChange #ChangeNOW2020 https://t.co/mz1By1Q6ul",French,Indo-European,,NonNative
Passionate discussions at #ChangeNOW2020 in Paris. How do we combine forces to reach scale and speed? Let’s build together  @clarissemlt?! @fandrillon75 @fpiazzesi . Thanks for having us @changeNOWsummit! #HeroesofChange @urw_group #BetterPlaces2030🍃 https://t.co/1NiOWpNlaq,French,Indo-European,,NonNative
"The @EIF_EU and @BNPParibas (Maha Keramane)  announced  at @changeNOWsummit the creation of a fund to co-invest on Social Impact bonds in European Countries,

#ChangeNOW2020 #PositiveBanking https://t.co/tyA7CnCeow",French,Indo-European,,NonNative
"[#ChangeNOW2020]

@AlexandreViros : ""we must have a #mobility market place on the #AssistantSNCF in order to adapt to customer needs, that is why we have to open to competitors"" https://t.co/1o6dJKHfWQ",French,Indo-European,,NonNative
The city of tomorow will be electrical and carbon-free @EM_Francois1 #ChangeNOW2020 CC @hubcities #Sustainability #SmartCity https://t.co/sI0SzO4EMf,French,Indo-European,,NonNative
"@KahnnSarah @orange @rfernandez @BeaMandine @HeriardClarisse @CorentinMaigne @jmthibaud @FatimaAlla_ @arielSTRABONI @acunapig @MehdiBezzouine @ThTaboy @Boudlalmustaph @lmarchou @fred_havard @anne_Imb @BelalaC #ChangeNOW2020 #Engage2025 

""In Finance, we have 4 main values:
+ Team Spirit
+ Trust
+ Agility
+ Boldness"" @rfernandez

@orange @orangejobs_fr
@VLeBoulanger @EouzanC https://t.co/U1NOdYZpi4",French,Indo-European,,NonNative
"[#ChangeNow2020]  It’s still time to join us in the arena for the conference « managing our #ocean ». I’ll be there with Peter Thomson ( @UN ),  @PhilippineHuc ( @surfridereurope ), @MarinaRachline ( @eurojedi ) Syrine Chaalala ( @nextProtein ) and André Martinie (Scatri). https://t.co/FKutpOWyKM",French,Indo-European,,NonNative
Reduce the gap between what we want and what we can. #team @gpamenagement at @changeNOWsummit and some partners for urban solutions and  #sustainable #cities #workinprogress #urbanism #innovation #ESS #TechForGood #ChangeNOW2020 #TakeAction https://t.co/QvlVn6MlEK,French,Indo-European,,NonNative
2 keywords in #impactinvesting : INTENTION : social and environnemental impact at the heart of the model and MEASURABILITY : capability of showing tangible results. @AglaeTouchardLD @RAISE_France #impinv @changeNOWsummit #ChangeNow2020 #HeroesOfChange #impinv https://t.co/OMu0iFp4Lx,French,Indo-European,,NonNative
"Energy Observer is among the solutions exhibited the square in front of @Paris City Hall until Sunday! Thanks to @changeNOWsummit for your support and trust 🙏🌎
#heroesofchange #ChangeNOW2020 
#futureisnow https://t.co/g1npMoWmJJ",French,Indo-European,,NonNative
📸 EXCITING NEWS! The official pictures of #ChangeNOW2020 are now online. Discover our selection and vote for your favorite one 👉 https://t.co/PGDhhdMOIu,French,Indo-European,,NonNative
"Looking forward to joining these great panelists tomorrow at #ChangeNOW2020 to talk about #CircularEconomy: latest #innovations, #sustainable business models like ours with @3StepIT, @BNPParibas's commitment to #EnergyTransition &amp; more! #SDGs #PositiveLeasing #PositiveBanking https://t.co/RjUFGTB0GJ",French,Indo-European,,NonNative
"Leïla Badis, Head of the Foundation @FamaeChallenge, is proud to participate at the @changeNOWsummit.
Meet her on stage Saturday 1st February, 2020 11:15 -12:30pm about “Growing food sustainably for all” 
#ChangeNow2020 #HeroesofChange https://t.co/GvnZNxaurt",French,Indo-European,,NonNative
#LastDay : SOCIAL SQUAD aka DREAM TEAM pour vous servir ⚡️ go follow @changeNOWsummit &amp; tweet w #ChangeNOW2020 https://t.co/GvNyUa6gxX,French,Indo-European,,NonNative
"🌎 It's #Friday! Do you need #motivation? Listen to the special message @N_Hulot from the @FondationNH has for you 🗣 

Full video 👉https://t.co/f4YUXAewcw
More conferences 👉https://t.co/iLIXznQUB7

#ChangeNOW2020 #HeroesOfChange https://t.co/rJN6SkooxI",French,Indo-European,,NonNative
"BNPParibas says ""Want to know more about #SocialImpactBond? Check out our short film dedicated to this contract that was filmed last month at #ChangeNOW2020 for the signature of our partnership with the European Investment Fund #impactinvesting #ESS … https://t.co/vP3b2goDk2""",French,Indo-European,,NonNative
"🎥 Our friends from @smooovebox captured more than 500 video pitches during ChangeNOW 2020! Discover our amazing Heroes of Change's project and connect with those who inspire you. ⬇️
https://t.co/9PK1PusgHT
#ChangeNOW2020 #HeroesOfChange #VelfiePitch https://t.co/HsGulX65HU",French,Indo-European,,NonNative
"Want to know more about #SocialImpactBond? Check out our short film dedicated to this contract that was filmed last month at #ChangeNOW2020 for the signature of our partnership with the European Investment Fund #impactinvesting #ESS 

ItierCh BNPPAM_COM … https://t.co/FJqISA1UnU",French,Indo-European,,NonNative
text,French,Indo-European,,NonNative
"Welcome to France...
#covid19 #covoid19france #CoronavirusFrance https://t.co/6J5nE3Znl4",French,Indo-European,,NonNative
Here we are : #CoronavirusFrance #COVID19france 01/03/2020 https://t.co/VGOVkcCXcB,French,Indo-European,,NonNative
"BREAKING NEWS : The culture minister of France, Franck Riester is now infected. 

He was present to the Council of ministers five days ago, so he probably infected other ministers and maybe Macron !

#coronavirus #CoronavirusFrance #Coronavid19 #CoronaOutbreak https://t.co/mEJZow5Pg7",French,Indo-European,,NonNative
#COVID19france  #CoronavirusFrance #coronavirus  about to make capitalism collapse https://t.co/b38Iv0b1ah,French,Indo-European,,NonNative
"Come get me #coronavirus I'm just waiting for u

#Coronavirusflorida #CoronavirusFrance https://t.co/9yfcEce9lX",French,Indo-European,,NonNative
Ex-æquo ! — Both France and Germany now have over 1000 {confirmed} infectés cases #coronavirus #CoronavirusFrance #coronavirusdeutschland https://t.co/7rAapC1Tqy,French,Indo-European,,NonNative
This is what you get in France when you do a twitter search #CoronavirusFrance .... a link to a governmental information site. https://t.co/GWjJ41GaRq,French,Indo-European,,NonNative
"The director of the health ministry - the French surgeon general - is reading an very serious update on #CoronavirusFrance with stats, precautions, etc and actually used the expression « fake news » in English in reference to lies and misinformation. 😀",French,Indo-European,,NonNative
"#CoronavirusFrance 
                                                 WE DIT IT !

https://t.co/Sdf8MeopwC https://t.co/9UigmJu6wK",French,Indo-European,,NonNative
"#CoronavirusFrance #France on Sunday banned all gatherings of more than 1,000 people in a bid to curb the spread of #COVID2019

Health minister Olivier #Véran says the country's #coronavirus alert remains at #stage2 ⤵️ https://t.co/MpGyTGUmbk",French,Indo-European,,NonNative
"A TAAAAABLE
#CoronavirusFrance https://t.co/zpV3oJo3Db",French,Indo-European,,NonNative
"The French CEO of Aeroports de Paris (ADP) Augustin Romanet is now infected. He's in quarantine but his health state isn't preoccupying.

ADP owns and manages the Parisian international airports Charles de Gaulle Airport, Orly Airport and Le Bourget Airport. 

#CoronavirusFrance https://t.co/DIiC8JEpWK",French,Indo-European,,NonNative
Another delayed opening @MuseeLouvre I’m not an expert on disease control but given the #CoronavirusFrance it seems like a terrible idea to force crowds to wait outside for a museum that may not open. https://t.co/6g4kU7C5CM,French,Indo-European,,NonNative
"If our government isn't helping, maybe we need to help ourselves https://t.co/b0AUssNbOg 🧐

#staythefuckhome #COVID19 #coronavirus #SARSCoV2 #Quarantine #pandemic #CoronavirusFrance #CoronaVirusDE #coronavirusdeutschland",French,Indo-European,,NonNative
"The end of the world is near
#CoronavirusFrance #coronavirusfr https://t.co/Omr6FmYI3Q",French,Indo-European,,NonNative
"Time lapse of the progression of the #COVID2019 
Part 1
#coronavirus #Coronavid19 #CoronaOutbreak #CoronavirusFrance https://t.co/qAebtSpqOK",French,Indo-European,,NonNative
"First infected in my city....

Jesus 😷

#COVID2019 
#CoronavirusFrance 
#CoronaVirusUpdates https://t.co/2zmxMA5y0O",French,Indo-European,,NonNative
it's a hit here in Europe once again #CoronavirusFrance https://t.co/T6xzGvnonm,French,Indo-European,,NonNative
"Left over berries (draff of some sort) is lifted out,new drum full of dried grapes loaded into mashtun,water added,pressurised for heat to speed up mashing,grape wort distilled into eau de vie. Plenty Schnapps at mum's to drink or sanitise to keep #CoronavirusFrance virus at bay! https://t.co/cYUinExlAM",French,Indo-European,,NonNative
"And yet in France, we are not supposed to  wear masks ?! Then why wasting so many masks abroad while medical teams need it so badly over here ? Why such a big difference between Asia /  Europe / USA. If it's a global fight shouldn't we all be working together? #coronavirusfrance https://t.co/9kOHuIsKtc",French,Indo-European,,NonNative
choose your banner for the word of tomorrow ! #Coronavid19 #coronavirus #CoronavirusFrance https://t.co/9JGFwO0SSf,French,Indo-European,,NonNative
That's what going to happen in France if still no further action taken SOON! Coronavirus is not Flu. C'est la peste! #CoronavirusFrance https://t.co/Qk1InsWKTU,French,Indo-European,,NonNative
"#coronavirus
Get prepared please take care !
#coronavirusfrance https://t.co/AFPrmIqmZp",French,Indo-European,,NonNative
"When two years of waiting collapse in two minutes 😭
Cancellation of the concert in Paris.
#CoronavirusFrance 
@Harry_Styles https://t.co/1QbEin4JhZ",French,Indo-European,,NonNative
"Just found out that #COVID19 has reached my nearest town in the Correze department of France, six miles away. A woman has been transferred from Tulle to the University hospital in Limoges. #CoronavirusFrance",French,Indo-European,,NonNative
"France : we must mitigate, aggressively, now. #CoronavirusFrance https://t.co/yx1WQFtBNz",French,Indo-European,,NonNative
How can this go on?! Stop #GhostFlights ! #EU #EuropeanUnion #flights #carbon #waste #airport #Coronavid19 #CoronavirusFrance https://t.co/3pb3z8AjwT,French,Indo-European,,NonNative
The end is near ! 🦠😷#CoronavirusFrance https://t.co/GwVerk8FFP,French,Indo-European,,NonNative
That's unfortunate 🤔 #coronavirusfrance https://t.co/RHto3qvz8D,French,Indo-European,,NonNative
Everything looking completely normal here in Paris. #CoronavirusFrance #turnthetelevisionoff,French,Indo-European,,NonNative
The best partie socialiste ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️ #RCSAPSG #Valls #NBAextra #Mouzin #BBB20 #Corona #Coronavid19 #coronavirus #CoronaVirusChallenge #CoronavirusFrance #coronavirusturkey #CoronaVirusUpdates #Municipales2020 #COVID19 #UFC248 #FermeturesEcoles #virus https://t.co/JK8zS0PY5I,French,Indo-European,,NonNative
"Oh boy, it's like Boris Johnson saying he shaked hands with a lot of sick patients #CoronavirusFrance 😱 https://t.co/1atTuuATfB",French,Indo-European,,NonNative
#paris #metroparis Feelings? #COVIDー19 #CoronavirusFrance https://t.co/2W60qjsidh,French,Indo-European,,NonNative
"Real.
#CoronavirusFrance #covid19fr #Covid_19fr #Blanquer https://t.co/wq33haoe6d",French,Indo-European,,NonNative
